barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
4068806176011,JP9414,25,32,1,09.06.2026,SALE
198730667973,IR0342-010,XL,37,1,09.06.2026,SALE
198958075260,IQ0471-101,XL,33.00999968,1,09.06.2026,SALE
198958078629,IQ0471-101,L,-33,-1,09.06.2026,RETURN
4065423663566,HF7501,38,-15.6,-1,09.06.2026,RETURN
4066766247994,IN1836,XS,-36,-1,09.06.2026,RETURN
4099683254974,392320-02,39,-31.2,-1,09.06.2026,RETURN
197597079325,FQ0908-002,42.5,-123.2,-1,09.06.2026,RETURN
4068818787540,KT4442,XL,-22,-1,09.06.2026,RETURN
4068806589699,HP3642,27,-43,-1,09.06.2026,RETURN
8053607437627,179941-D0577,M,-36,-1,09.06.2026,RETURN
8053607757039,181446-80013,M,-22,-1,09.06.2026,RETURN
8053607376568,179607-D0666,44,-44,-1,09.06.2026,RETURN
